imdbid,primaryTitle,year,rating,decade,variable,value,genre,pass,notpass
tt0077189,Avalanche,1978,2,1970,Action,1,Action,0,1
tt0077215,Battlestar Galactica,1978,3,1970,Action,1,Action,1,0
tt0078346,Superman,1978,1,1970,Drama,1,Drama,0,1
tt0078778,Angels' Brigade,1979,3,1970,Action,1,Action,1,0
tt0078869,The Black Hole,1979,0,1970,Action,1,Action,0,1
tt0079336,The In-Laws,1979,3,1970,Comedy,1,Comedy,1,0
tt0079501,Mad Max,1979,3,1970,Sci-Fi,1,Sci-Fi,1,0
tt0079574,Moonraker,1979,1,1970,Action,1,Action,0,1
tt0079946,Starcrash,1978,3,1970,Adventure,1,Adventure,1,0
tt0080120,The Warriors,1979,1,1970,Thriller,1,Thriller,0,1
tt0080377,Any Which Way You Can,1980,1,1980,Comedy,1,Comedy,0,1
tt0080421,Battle Beyond the Stars,1980,2,1980,Adventure,1,Adventure,0,1
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,0,1980,Adventure,1,Adventure,0,1
tt0080736,The Final Countdown,1980,0,1980,Action,1,Action,0,1
tt0080745,Flash Gordon,1980,3,1980,Action,1,Action,1,0
tt0081573,Superman II,1980,3,1980,Action,1,Action,1,0
tt0082045,Banana Joe,1982,0,1980,Action,1,Action,0,1
tt0082186,Clash of the Titans,1981,3,1980,Family,1,Family,1,0
tt0082288,Dragonslayer,1981,1,1980,Action,1,Action,0,1
tt0082340,Escape from New York,1981,0,1980,Action,1,Action,0,1
tt0082398,For Your Eyes Only,1981,3,1980,Action,1,Action,1,0
tt0082431,Galaxy of Terror,1981,3,1980,Horror,1,Horror,1,0
tt0082869,Outland,1981,1,1980,Crime,1,Crime,0,1
tt0082971,Indiana Jones and the Raiders of the Lost Ark,1981,3,1980,Adventure,1,Adventure,1,0
tt0083111,Southern Comfort,1981,0,1980,Thriller,1,Thriller,0,1
tt0083511,48 Hrs.,1982,2,1980,Crime,1,Crime,0,1
tt0083944,First Blood,1982,0,1980,Adventure,1,Adventure,0,1
tt0084726,Star Trek II: The Wrath of Khan,1982,3,1980,Adventure,1,Adventure,1,0
tt0084827,TRON,1982,0,1980,Sci-Fi,1,Sci-Fi,0,1
tt0085276,Breathless,1983,0,1980,Romance,1,Romance,0,1
tt0085601,Go for It,1983,0,1980,Comedy,1,Comedy,0,1
tt0085811,Krull,1983,1,1980,Adventure,1,Adventure,0,1
tt0086034,Octopussy,1983,2,1980,Action,1,Action,0,1
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,1,1980,Adventure,1,Adventure,0,1
tt0086393,Superman III,1983,3,1980,Action,1,Action,1,0
tt0086618,Yellowbeard,1983,1,1980,Action,1,Action,0,1
tt0086896,Angel,1984,3,1980,Thriller,1,Thriller,1,0
tt0086960,Beverly Hills Cop,1984,0,1980,Action,1,Action,0,1
tt0087078,Conan the Destroyer,1984,3,1980,Action,1,Action,1,0
tt0087182,Dune,1984,3,1980,Action,1,Action,1,0
tt0087332,Ghostbusters,1984,2,1980,Action,1,Action,0,1
tt0087344,Godzilla 1985,1984,0,1980,Sci-Fi,1,Sci-Fi,0,1
tt0087451,The Ice Pirates,1984,2,1980,Comedy,1,Comedy,0,1
tt0087469,Indiana Jones and the Temple of Doom,1984,0,1980,Action,1,Action,0,1
tt0087538,The Karate Kid,1984,3,1980,Drama,1,Drama,1,0
tt0087597,The Last Starfighter,1984,3,1980,Action,1,Action,1,0
tt0088170,Star Trek III: The Search for Spock,1984,1,1980,Action,1,Action,0,1
tt0088206,Supergirl,1984,3,1980,Adventure,1,Adventure,1,0
tt0088247,The Terminator,1984,3,1980,Sci-Fi,1,Sci-Fi,1,0
tt0088814,The Black Cauldron,1985,3,1980,Action,1,Action,1,0
tt0088944,Commando,1985,1,1980,Adventure,1,Adventure,0,1
tt0089092,Enemy Mine,1985,0,1980,Action,1,Action,0,1
tt0089118,F/X,1986,1,1980,Thriller,1,Thriller,0,1
tt0089371,Mr. Vampire,1985,1,1980,Comedy,1,Comedy,0,1
tt0089470,The Legend of Billie Jean,1985,3,1980,Drama,1,Drama,1,0
tt0089880,Rambo: First Blood Part II,1985,0,1980,Adventure,1,Adventure,0,1
tt0089881,Ran,1985,1,1980,Action,1,Action,0,1
tt0089893,Red Sonja,1985,3,1980,Adventure,1,Adventure,1,0
tt0090065,Starchaser: The Legend of Orin,1985,1,1980,Animation,1,Animation,0,1
tt0090192,Trancers,1984,1,1980,Action,1,Action,0,1
tt0090264,A View to a Kill,1985,1,1980,Adventure,1,Adventure,0,1
tt0090605,Aliens,1986,3,1980,Action,1,Action,1,0
tt0090660,Armed and Dangerous,1986,1,1980,Comedy,1,Comedy,0,1
tt0090728,Big Trouble in Little China,1986,3,1980,Action,1,Action,1,0
tt0090952,Peking Opera Blues,1986,3,1980,Comedy,1,Comedy,1,0
tt0091203,Highlander,1986,3,1980,Fantasy,1,Fantasy,1,0
tt0091225,Howard the Duck,1986,3,1980,Comedy,1,Comedy,1,0
tt0091326,The Karate Kid Part II,1986,1,1980,Family,1,Family,0,1
tt0091499,Maximum Overdrive,1986,2,1980,Comedy,1,Comedy,0,1
tt0091794,Project A-Ko,1986,3,1980,Adventure,1,Adventure,1,0
tt0092099,Top Gun,1986,2,1980,Drama,1,Drama,0,1
tt0092106,The Transformers: The Movie,1986,0,1980,Adventure,1,Adventure,0,1
tt0092644,Beverly Hills Cop II,1987,1,1980,Crime,1,Crime,0,1
tt0092675,Bloodsport,1988,1,1980,Action,1,Action,0,1
tt0093011,Fatal Beauty,1987,2,1980,Crime,1,Crime,0,1
tt0093146,Hard Ticket to Hawaii,1987,3,1980,Action,1,Action,1,0
tt0093171,Hell Comes to Frogtown,1988,3,1980,Comedy,1,Comedy,1,0
tt0093409,Lethal Weapon,1987,1,1980,Crime,1,Crime,0,1
tt0093773,Predator,1987,0,1980,Action,1,Action,0,1
tt0093870,RoboCop,1987,1,1980,Crime,1,Crime,0,1
tt0094074,Superman IV: The Quest for Peace,1987,3,1980,Family,1,Family,1,0
tt0094612,Action Jackson,1988,1,1980,Crime,1,Crime,0,1
tt0094631,Alien Nation,1988,1,1980,Action,1,Action,0,1
